timestamp,open,high,low,close
2025-10-05T23:00:00+00:00,1.17192,1.17192,1.17110,1.17151
2025-10-06T00:00:00+00:00,1.17151,1.17206,1.17137,1.17192
2025-10-06T01:00:00+00:00,1.17192,1.17275,1.17137,1.17275
2025-10-06T02:00:00+00:00,1.17275,1.17343,1.17275,1.17302
2025-10-06T03:00:00+00:00,1.17302,1.17330,1.17275,1.17275
2025-10-06T04:00:00+00:00,1.17288,1.17302,1.17233,1.17233
2025-10-06T05:00:00+00:00,1.17247,1.17288,1.17178,1.17206
2025-10-06T06:00:00+00:00,1.17220,1.17220,1.16945,1.16973
2025-10-06T07:00:00+00:00,1.16959,1.17137,1.16673,1.16673
2025-10-06T08:00:00+00:00,1.16659,1.16822,1.16564,1.16713
2025-10-06T09:00:00+00:00,1.16700,1.16727,1.16604,1.16686
2025-10-06T10:00:00+00:00,1.16700,1.16700,1.16564,1.16673
2025-10-06T11:00:00+00:00,1.16659,1.16822,1.16604,1.16781
2025-10-06T12:00:00+00:00,1.16781,1.16918,1.16781,1.16918
2025-10-06T13:00:00+00:00,1.16932,1.17069,1.16877,1.17041
2025-10-06T14:00:00+00:00,1.17027,1.17206,1.16986,1.17206
2025-10-06T15:00:00+00:00,1.17206,1.17220,1.17069,1.17096
2025-10-06T16:00:00+00:00,1.17123,1.17151,1.17069,1.17137
2025-10-06T17:00:00+00:00,1.17165,1.17192,1.17137,1.17137
2025-10-06T18:00:00+00:00,1.17137,1.17192,1.17137,1.17165
2025-10-06T19:00:00+00:00,1.17165,1.17206,1.17151,1.17151
2025-10-06T20:00:00+00:00,1.17137,1.17178,1.17123,1.17165
2025-10-06T21:00:00+00:00,1.17165,1.17206,1.17123,1.17151
2025-10-06T22:00:00+00:00,1.17151,1.17178,1.17123,1.17137
2025-10-06T23:00:00+00:00,1.17137,1.17178,1.17123,1.17137
2025-10-07T00:00:00+00:00,1.17123,1.17137,1.17082,1.17110
